Data supplied by UK-AIR on 6/6/2017
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,London Bloomsbury,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>2.5</sub> (Hourly measured)",status,unit
 
01-01-2016,01:00,22.700,R,ugm-3 (TEOM FDMS),2.45302,R,ugm-3,45.52324,R,ugm-3,49.28449,R,ugm-3,21.000,R,ugm-3 (TEOM FDMS),15.200,R,ugm-3 (TEOM FDMS),24.33157,R,ugm-3,14.300,R,ugm-3 (TEOM FDMS),1.34021,R,ugm-3,1.700,R,ugm-3 (TEOM FDMS),-0.900,R,ugm-3 (TEOM FDMS)
01-01-2016,02:00,23.000,R,ugm-3 (TEOM FDMS),4.00425,R,ugm-3,51.47685,R,ugm-3,57.61661,R,ugm-3,21.200,R,ugm-3 (TEOM FDMS),10.800,R,ugm-3 (TEOM FDMS),12.56958,R,ugm-3,8.600,R,ugm-3 (TEOM FDMS),1.60807,R,ugm-3,1.800,R,ugm-3 (TEOM FDMS),-2.200,R,ugm-3 (TEOM FDMS)
01-01-2016,03:00,23.300,R,ugm-3 (TEOM FDMS),9.57396,R,ugm-3,59.89568,R,ugm-3,74.57555,R,ugm-3,21.700,R,ugm-3 (TEOM FDMS),11.900,R,ugm-3 (TEOM FDMS),6.17470,R,ugm-3,11.800,R,ugm-3 (TEOM FDMS),1.67437,R,ugm-3,1.600,R,ugm-3 (TEOM FDMS),-0.100,R,ugm-3 (TEOM FDMS)
01-01-2016,04:00,23.900,R,ugm-3 (TEOM FDMS),8.78505,R,ugm-3,58.27531,R,ugm-3,71.74553,R,ugm-3,23.200,R,ugm-3 (TEOM FDMS),11.800,R,ugm-3 (TEOM FDMS),7.49834,R,ugm-3,11.300,R,ugm-3 (TEOM FDMS),1.47480,R,ugm-3,0.700,R,ugm-3 (TEOM FDMS),-0.500,R,ugm-3 (TEOM FDMS)
01-01-2016,05:00,20.500,R,ugm-3 (TEOM FDMS),5.96927,R,ugm-3,57.05131,R,ugm-3,66.20406,R,ugm-3,18.500,R,ugm-3 (TEOM FDMS),8.900,R,ugm-3 (TEOM FDMS),9.26155,R,ugm-3,9.300,R,ugm-3 (TEOM FDMS),0.66988,R,ugm-3,2.000,R,ugm-3 (TEOM FDMS),0.400,R,ugm-3 (TEOM FDMS)
01-01-2016,06:00,21.000,R,ugm-3 (TEOM FDMS),18.69672,R,ugm-3,69.54758,R,ugm-3,98.21548,R,ugm-3,18.600,R,ugm-3 (TEOM FDMS),6.800,R,ugm-3 (TEOM FDMS),2.64630,R,ugm-3,7.400,R,ugm-3 (TEOM FDMS),1.47347,R,ugm-3,2.400,R,ugm-3 (TEOM FDMS),0.600,R,ugm-3 (TEOM FDMS)
01-01-2016,07:00,19.800,R,ugm-3 (TEOM FDMS),19.97364,R,ugm-3,70.12468,R,ugm-3,100.75050,R,ugm-3,16.100,R,ugm-3 (TEOM FDMS),5.700,R,ugm-3 (TEOM FDMS),0.99236,R,ugm-3,6.600,R,ugm-3 (TEOM FDMS),2.27773,R,ugm-3,3.700,R,ugm-3 (TEOM FDMS),0.900,R,ugm-3 (TEOM FDMS)
01-01-2016,08:00,20.400,R,ugm-3 (TEOM FDMS),48.61882,R,ugm-3,73.18803,R,ugm-3,147.73584,R,ugm-3,18.200,R,ugm-3 (TEOM FDMS),7.200,R,ugm-3 (TEOM FDMS),1.32315,R,ugm-3,7.100,R,ugm-3 (TEOM FDMS),2.94828,R,ugm-3,2.200,R,ugm-3 (TEOM FDMS),-0.100,R,ugm-3 (TEOM FDMS)
01-01-2016,09:00,21.200,R,ugm-3 (TEOM FDMS),63.37375,R,ugm-3,75.32381,R,ugm-3,172.49555,R,ugm-3,18.200,R,ugm-3 (TEOM FDMS),9.500,R,ugm-3 (TEOM FDMS),1.15801,R,ugm-3,11.100,R,ugm-3 (TEOM FDMS),3.81773,R,ugm-3,3.000,R,ugm-3 (TEOM FDMS),1.600,R,ugm-3 (TEOM FDMS)
