Data supplied by UK-AIR on 14/5/2021
All Data GMT hour ending  NB:  Upto 18/02/2020 PM10 were measured with a TEOM FDMS, from 18/02/2020 PM10 were measured with a BAM 1020 heated
Status: R =Ratified P=Provisional,P*=As supplied
,,London Bloomsbury,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>2.5</sub> (Hourly measured)",status,unit
 
01-01-2020,01:00,44.900,R,ugm-3 (TEOM FDMS),14.30497,R,ugm-3,39.99042,R,ugm-3,61.92440,R,ugm-3,35.300,R,ugm-3 (TEOM FDMS),29.100,R,ugm-3 (TEOM FDMS),1.33047,R,ugm-3,35.600,R,ugm-3 (TEOM FDMS),1.21118,R,ugm-3,9.600,R,ugm-3 (TEOM FDMS),9.700,R,ugm-3 (TEOM FDMS)
01-01-2020,02:00,48.500,R,ugm-3 (TEOM FDMS),15.92318,R,ugm-3,37.90489,R,ugm-3,62.32008,R,ugm-3,39.500,R,ugm-3 (TEOM FDMS),36.800,R,ugm-3 (TEOM FDMS),1.59656,R,ugm-3,42.500,R,ugm-3 (TEOM FDMS),1.73025,R,ugm-3,9.000,R,ugm-3 (TEOM FDMS),8.900,R,ugm-3 (TEOM FDMS)
01-01-2020,03:00,49.100,R,ugm-3 (TEOM FDMS),20.53507,R,ugm-3,37.21380,R,ugm-3,68.70047,R,ugm-3,40.800,R,ugm-3 (TEOM FDMS),36.800,R,ugm-3 (TEOM FDMS),1.99570,R,ugm-3,42.300,R,ugm-3 (TEOM FDMS),1.23281,R,ugm-3,8.300,R,ugm-3 (TEOM FDMS),8.700,R,ugm-3 (TEOM FDMS)
01-01-2020,04:00,53.100,R,ugm-3 (TEOM FDMS),15.48626,R,ugm-3,36.49748,R,ugm-3,60.24275,R,ugm-3,45.000,R,ugm-3 (TEOM FDMS),40.100,R,ugm-3 (TEOM FDMS),2.04559,R,ugm-3,45.600,R,ugm-3 (TEOM FDMS),1.23281,R,ugm-3,8.100,R,ugm-3 (TEOM FDMS),8.700,R,ugm-3 (TEOM FDMS)
01-01-2020,05:00,46.300,R,ugm-3 (TEOM FDMS),4.32062,R,ugm-3,28.24472,R,ugm-3,34.86957,R,ugm-3,37.400,R,ugm-3 (TEOM FDMS),34.600,R,ugm-3 (TEOM FDMS),7.58366,R,ugm-3,40.400,R,ugm-3 (TEOM FDMS),1.23281,R,ugm-3,8.900,R,ugm-3 (TEOM FDMS),9.000,R,ugm-3 (TEOM FDMS)
01-01-2020,06:00,43.700,R,ugm-3 (TEOM FDMS),3.05842,R,ugm-3,27.73178,R,ugm-3,32.42128,R,ugm-3,33.400,R,ugm-3 (TEOM FDMS),32.000,R,ugm-3 (TEOM FDMS),7.33420,R,ugm-3,39.600,R,ugm-3 (TEOM FDMS),0.84350,R,ugm-3,10.300,R,ugm-3 (TEOM FDMS),10.800,R,ugm-3 (TEOM FDMS)
01-01-2020,07:00,46.100,R,ugm-3 (TEOM FDMS),3.83516,R,ugm-3,29.87937,R,ugm-3,35.75986,R,ugm-3,36.400,R,ugm-3 (TEOM FDMS),33.200,R,ugm-3 (TEOM FDMS),6.63570,R,ugm-3,39.500,R,ugm-3 (TEOM FDMS),1.23281,R,ugm-3,9.700,R,ugm-3 (TEOM FDMS),9.500,R,ugm-3 (TEOM FDMS)
01-01-2020,08:00,42.700,R,ugm-3 (TEOM FDMS),6.60229,R,ugm-3,36.17155,R,ugm-3,46.29492,R,ugm-3,32.000,R,ugm-3 (TEOM FDMS),30.100,R,ugm-3 (TEOM FDMS),4.29076,R,ugm-3,35.000,R,ugm-3 (TEOM FDMS),1.23281,R,ugm-3,10.700,R,ugm-3 (TEOM FDMS),8.100,R,ugm-3 (TEOM FDMS)
01-01-2020,09:00,42.800,R,ugm-3 (TEOM FDMS),49.12883,R,ugm-3,40.63005,R,ugm-3,115.95987,R,ugm-3,33.200,R,ugm-3 (TEOM FDMS),33.100,R,ugm-3 (TEOM FDMS),1.69635,R,ugm-3,39.300,R,ugm-3 (TEOM FDMS),2.66026,R,ugm-3,9.600,R,ugm-3 (TEOM FDMS),9.400,R,ugm-3 (TEOM FDMS)
01-01-2020,10:00,42.100,R,ugm-3 (TEOM FDMS),55.48839,R,ugm-3,41.63649,R,ugm-3,126.71750,R,ugm-3,32.200,R,ugm-3 (TEOM FDMS),30.200,R,ugm-3 (TEOM FDMS),2.04559,R,ugm-3,37.100,R,ugm-3 (TEOM FDMS),3.17934,R,ugm-3,9.900,R,ugm-3 (TEOM FDMS),10.100,R,ugm-3 (TEOM FDMS)
01-01-2020,11:00,41.300,R,ugm-3 (TEOM FDMS),57.28460,R,ugm-3,42.66606,R,ugm-3,130.50122,R,ugm-3,31.700,R,ugm-3 (TEOM FDMS),30.400,R,ugm-3 (TEOM FDMS),2.34495,R,ugm-3,35.900,R,ugm-3 (TEOM FDMS),3.37399,R,ugm-3,9.600,R,ugm-3 (TEOM FDMS),8.700,R,ugm-3 (TEOM FDMS)
01-01-2020,12:00,41.900,R,ugm-3 (TEOM FDMS),47.86662,R,ugm-3,45.53303,R,ugm-3,118.92749,R,ugm-3,31.000,R,ugm-3 (TEOM FDMS),29.500,R,ugm-3 (TEOM FDMS),3.59226,R,ugm-3,38.100,R,ugm-3 (TEOM FDMS),2.85492,R,ugm-3,10.900,R,ugm-3 (TEOM FDMS),11.800,R,ugm-3 (TEOM FDMS)
01-01-2020,13:00,41.000,R,ugm-3 (TEOM FDMS),15.00080,R,ugm-3,41.91585,R,ugm-3,64.91675,R,ugm-3,31.200,R,ugm-3 (TEOM FDMS),30.600,R,ugm-3 (TEOM FDMS),7.58366,R,ugm-3,39.000,R,ugm-3 (TEOM FDMS),1.29769,R,ugm-3,9.800,R,ugm-3 (TEOM FDMS),11.600,R,ugm-3 (TEOM FDMS)
01-01-2020,14:00,42.800,R,ugm-3 (TEOM FDMS),11.35983,R,ugm-3,40.22792,R,ugm-3,57.64608,R,ugm-3,33.300,R,ugm-3 (TEOM FDMS),31.600,R,ugm-3 (TEOM FDMS),8.23226,R,ugm-3,38.800,R,ugm-3 (TEOM FDMS),1.23281,R,ugm-3,9.500,R,ugm-3 (TEOM FDMS),10.400,R,ugm-3 (TEOM FDMS)
01-01-2020,15:00,39.100,R,ugm-3 (TEOM FDMS),7.62177,R,ugm-3,38.68886,R,ugm-3,50.37540,R,ugm-3,29.600,R,ugm-3 (TEOM FDMS),27.900,R,ugm-3 (TEOM FDMS),11.07614,R,ugm-3,32.700,R,ugm-3 (TEOM FDMS),1.16792,R,ugm-3,9.500,R,ugm-3 (TEOM FDMS),8.000,R,ugm-3 (TEOM FDMS)
