Data supplied by UK-AIR on 20/1/2026
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,London Bloomsbury,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit
 
01-01-2025,01:00,13.900,R,ugm-3 (FIDAS),0.12696,R,ugm-3,6.74388,R,ugm-3,6.93855,R,ugm-3,75.83660,R,ugm-3,6.415,R,ugm-3 (Ref.eq),,,
01-01-2025,02:00,11.850,R,ugm-3 (FIDAS),0.38089,R,ugm-3,7.70369,R,ugm-3,8.28771,R,ugm-3,76.83445,R,ugm-3,5.731,R,ugm-3 (Ref.eq),,,
01-01-2025,03:00,11.775,R,ugm-3 (FIDAS),0.22218,R,ugm-3,5.87511,R,ugm-3,6.21578,R,ugm-3,78.63058,R,ugm-3,5.000,R,ugm-3 (Ref.eq),,,
01-01-2025,04:00,11.375,R,ugm-3 (FIDAS),0.09522,R,ugm-3,5.29883,R,ugm-3,5.44483,R,ugm-3,78.08176,R,ugm-3,5.094,R,ugm-3 (Ref.eq),,,
01-01-2025,05:00,10.975,R,ugm-3 (FIDAS),0.12696,R,ugm-3,4.19011,R,ugm-3,4.38478,R,ugm-3,77.83230,R,ugm-3,4.811,R,ugm-3 (Ref.eq),,,
01-01-2025,06:00,10.325,R,ugm-3 (FIDAS),0.15870,R,ugm-3,4.04507,R,ugm-3,4.28841,R,ugm-3,78.23144,R,ugm-3,4.340,R,ugm-3 (Ref.eq),,,
01-01-2025,07:00,6.875,R,ugm-3 (FIDAS),0.09522,R,ugm-3,4.33514,R,ugm-3,4.48115,R,ugm-3,76.08606,R,ugm-3,3.137,R,ugm-3 (Ref.eq),,,
01-01-2025,08:00,5.525,R,ugm-3 (FIDAS),0.63481,R,ugm-3,6.06156,R,ugm-3,7.03492,R,ugm-3,74.28993,R,ugm-3,2.500,R,ugm-3 (Ref.eq),,,
01-01-2025,09:00,7.150,R,ugm-3 (FIDAS),0.09522,R,ugm-3,5.25064,R,ugm-3,5.39665,R,ugm-3,75.08821,R,ugm-3,3.514,R,ugm-3 (Ref.eq),,,
01-01-2025,10:00,5.600,R,ugm-3 (FIDAS),0.28567,R,ugm-3,6.74146,R,ugm-3,7.17947,R,ugm-3,73.89079,R,ugm-3,2.547,R,ugm-3 (Ref.eq),,,
01-01-2025,11:00,5.525,R,ugm-3 (FIDAS),0.41263,R,ugm-3,7.26955,R,ugm-3,7.90224,R,ugm-3,73.09251,R,ugm-3,2.476,R,ugm-3 (Ref.eq),,,
01-01-2025,12:00,4.700,R,ugm-3 (FIDAS),0.38089,R,ugm-3,7.12548,R,ugm-3,7.70950,R,ugm-3,71.94499,R,ugm-3,2.476,R,ugm-3 (Ref.eq),,,
01-01-2025,13:00,3.450,R,ugm-3 (FIDAS),5.04674,R,ugm-3,23.77435,R,ugm-3,31.51258,R,ugm-3,61.46756,R,ugm-3,1.392,R,ugm-3 (Ref.eq),,,
01-01-2025,14:00,2.875,R,ugm-3 (FIDAS),6.06244,R,ugm-3,26.84267,R,ugm-3,36.13828,R,ugm-3,62.56520,R,ugm-3,1.179,R,ugm-3 (Ref.eq),,,
01-01-2025,15:00,3.325,R,ugm-3 (FIDAS),3.17405,R,ugm-3,33.63250,R,ugm-3,38.49931,R,ugm-3,61.51745,R,ugm-3,1.486,R,ugm-3 (Ref.eq),,,
01-01-2025,16:00,3.625,R,ugm-3 (FIDAS),3.30101,R,ugm-3,25.05375,R,ugm-3,30.11523,R,ugm-3,64.61079,R,ugm-3,1.627,R,ugm-3 (Ref.eq),,,
01-01-2025,17:00,4.000,R,ugm-3 (FIDAS),0.60307,R,ugm-3,23.07112,R,ugm-3,23.99582,R,ugm-3,62.56520,R,ugm-3,2.028,R,ugm-3 (Ref.eq),,,
01-01-2025,18:00,3.975,R,ugm-3 (FIDAS),0.44437,R,ugm-3,22.06167,R,ugm-3,22.74302,R,ugm-3,60.61939,R,ugm-3,2.193,R,ugm-3 (Ref.eq),,,
01-01-2025,19:00,3.800,R,ugm-3 (FIDAS),0.28567,R,ugm-3,19.99216,R,ugm-3,20.43017,R,ugm-3,61.71702,R,ugm-3,2.075,R,ugm-3 (Ref.eq),,,
01-01-2025,20:00,5.025,R,ugm-3 (FIDAS),0.53959,R,ugm-3,19.69918,R,ugm-3,20.52654,R,ugm-3,61.11831,R,ugm-3,2.948,R,ugm-3 (Ref.eq),,,
01-01-2025,21:00,6.800,R,ugm-3 (FIDAS),0.69829,R,ugm-3,19.35947,R,ugm-3,20.43017,R,ugm-3,58.07487,R,ugm-3,3.726,R,ugm-3 (Ref.eq),,,
01-01-2025,22:00,8.150,R,ugm-3 (FIDAS),0.50785,R,ugm-3,21.04883,R,ugm-3,21.82752,R,ugm-3,51.18971,R,ugm-3,4.340,R,ugm-3 (Ref.eq),,,
01-01-2025,23:00,9.525,R,ugm-3 (FIDAS),2.38054,R,ugm-3,37.11387,R,ugm-3,40.76398,R,ugm-3,39.06583,R,ugm-3,5.047,R,ugm-3 (Ref.eq),,,
01-01-2025,24:00,9.575,R,ugm-3 (FIDAS),1.11092,R,ugm-3,27.49635,R,ugm-3,29.19973,R,ugm-3,41.41078,R,ugm-3,5.212,R,ugm-3 (Ref.eq),,,
02-01-2025,01:00,9.775,R,ugm-3 (FIDAS),2.32900,R,ugm-3,34.98633,R,ugm-3,38.55741,R,ugm-3,37.31959,R,ugm-3,5.566,R,ugm-3 (Ref.eq),,,
02-01-2025,02:00,10.650,R,ugm-3 (FIDAS),2.96419,R,ugm-3,31.24911,R,ugm-3,35.79413,R,ugm-3,30.99987,R,ugm-3,5.660,R,ugm-3 (Ref.eq),,,
02-01-2025,03:00,8.150,R,ugm-3 (FIDAS),1.61972,R,ugm-3,22.57879,R,ugm-3,25.06232,R,ugm-3,32.72948,R,ugm-3,4.646,R,ugm-3 (Ref.eq),,,
02-01-2025,04:00,6.675,R,ugm-3 (FIDAS),1.65147,R,ugm-3,15.05960,R,ugm-3,17.59182,R,ugm-3,41.21121,R,ugm-3,3.844,R,ugm-3 (Ref.eq),,,
02-01-2025,05:00,6.900,R,ugm-3 (FIDAS),1.30212,R,ugm-3,12.70345,R,ugm-3,14.70001,R,ugm-3,46.20046,R,ugm-3,3.255,R,ugm-3 (Ref.eq),,,
02-01-2025,06:00,7.450,R,ugm-3 (FIDAS),1.46092,R,ugm-3,21.71375,R,ugm-3,23.95379,R,ugm-3,38.46712,R,ugm-3,3.467,R,ugm-3 (Ref.eq),,,
02-01-2025,07:00,8.275,R,ugm-3 (FIDAS),3.39823,R,ugm-3,33.00950,R,ugm-3,38.22004,R,ugm-3,30.78367,R,ugm-3,3.750,R,ugm-3 (Ref.eq),,,
02-01-2025,08:00,7.600,R,ugm-3 (FIDAS),4.38276,R,ugm-3,33.42777,R,ugm-3,40.14791,R,ugm-3,31.78152,R,ugm-3,3.632,R,ugm-3 (Ref.eq),,,
02-01-2025,09:00,8.650,R,ugm-3 (FIDAS),8.19385,R,ugm-3,34.91008,R,ugm-3,47.47382,R,ugm-3,30.23486,R,ugm-3,4.670,R,ugm-3 (Ref.eq),,,
02-01-2025,10:00,8.125,R,ugm-3 (FIDAS),8.44793,R,ugm-3,36.11100,R,ugm-3,49.06431,R,ugm-3,29.58625,R,ugm-3,4.245,R,ugm-3 (Ref.eq),,,
02-01-2025,11:00,8.275,R,ugm-3 (FIDAS),8.44793,R,ugm-3,32.93001,R,ugm-3,45.88332,R,ugm-3,31.48217,R,ugm-3,4.104,R,ugm-3 (Ref.eq),,,
02-01-2025,12:00,8.575,R,ugm-3 (FIDAS),8.89255,R,ugm-3,30.41678,R,ugm-3,44.05184,R,ugm-3,34.72518,R,ugm-3,4.340,R,ugm-3 (Ref.eq),,,
02-01-2025,13:00,9.300,R,ugm-3 (FIDAS),9.27366,R,ugm-3,28.53111,R,ugm-3,42.75053,R,ugm-3,36.97034,R,ugm-3,3.962,R,ugm-3 (Ref.eq),,,
02-01-2025,14:00,11.100,R,ugm-3 (FIDAS),6.66942,R,ugm-3,25.68030,R,ugm-3,35.90659,R,ugm-3,41.26110,R,ugm-3,4.670,R,ugm-3 (Ref.eq),,,
02-01-2025,15:00,11.450,R,ugm-3 (FIDAS),7.20932,R,ugm-3,31.60000,R,ugm-3,42.65414,R,ugm-3,37.16991,R,ugm-3,4.670,R,ugm-3 (Ref.eq),,,
02-01-2025,16:00,9.000,R,ugm-3 (FIDAS),4.73211,R,ugm-3,31.97637,R,ugm-3,39.23217,R,ugm-3,38.96604,R,ugm-3,3.892,R,ugm-3 (Ref.eq),,,
02-01-2025,17:00,9.325,R,ugm-3 (FIDAS),5.08146,R,ugm-3,38.23645,R,ugm-3,46.02791,R,ugm-3,31.83142,R,ugm-3,4.057,R,ugm-3 (Ref.eq),,,
02-01-2025,18:00,9.125,R,ugm-3 (FIDAS),3.52526,R,ugm-3,42.11669,R,ugm-3,47.52201,R,ugm-3,26.44303,R,ugm-3,4.976,R,ugm-3 (Ref.eq),,,
02-01-2025,19:00,9.750,R,ugm-3 (FIDAS),3.68406,R,ugm-3,45.39157,R,ugm-3,51.04038,R,ugm-3,22.40173,R,ugm-3,5.660,R,ugm-3 (Ref.eq),,,
02-01-2025,20:00,8.800,R,ugm-3 (FIDAS),3.20767,R,ugm-3,41.63972,R,ugm-3,46.55808,R,ugm-3,26.94195,R,ugm-3,5.472,R,ugm-3 (Ref.eq),,,
02-01-2025,21:00,8.925,R,ugm-3 (FIDAS),2.00083,R,ugm-3,42.57445,R,ugm-3,45.64234,R,ugm-3,25.69464,R,ugm-3,5.401,R,ugm-3 (Ref.eq),,,
02-01-2025,22:00,9.875,R,ugm-3 (FIDAS),4.06517,R,ugm-3,50.49442,R,ugm-3,56.72759,R,ugm-3,21.35399,R,ugm-3,6.061,R,ugm-3 (Ref.eq),,,
02-01-2025,23:00,10.775,R,ugm-3 (FIDAS),12.03671,R,ugm-3,68.20176,R,ugm-3,86.65779,R,ugm-3,13.42108,R,ugm-3,7.618,R,ugm-3 (Ref.eq),,,
02-01-2025,24:00,12.500,R,ugm-3 (FIDAS),17.68983,R,ugm-3,76.98099,R,ugm-3,104.10502,R,ugm-3,9.62925,R,ugm-3,8.774,R,ugm-3 (Ref.eq),,,
03-01-2025,01:00,13.250,R,ugm-3 (FIDAS),8.34695,R,ugm-3,62.02214,R,ugm-3,74.82062,R,ugm-3,13.43771,R,ugm-3,8.750,R,ugm-3 (Ref.eq),,,
03-01-2025,02:00,11.900,R,ugm-3 (FIDAS),10.29598,R,ugm-3,65.39728,R,ugm-3,81.18423,R,ugm-3,13.96990,R,ugm-3,8.443,R,ugm-3 (Ref.eq),,,
03-01-2025,03:00,10.825,R,ugm-3 (FIDAS),10.00998,R,ugm-3,65.88401,R,ugm-3,81.23244,R,ugm-3,16.21506,R,ugm-3,7.901,R,ugm-3 (Ref.eq),,,
